"","date","year","month","adj.close"
"178",2001-08-01,2001,"Aug",1133.579956
"179",2001-07-02,2001,"Jul",1211.22998
"180",2001-06-01,2001,"Jun",1224.380005
"181",2001-05-01,2001,"May",1255.819946
"182",2001-04-02,2001,"Apr",1249.459961
"183",2001-03-01,2001,"Mar",1160.329956
"184",2001-02-01,2001,"Feb",1239.939941
"185",2001-01-02,2001,"Jan",1366.01001
"186",2000-12-01,2000,"Dec",1320.280029
"187",2000-11-01,2000,"Nov",1314.949951
"188",2000-10-02,2000,"Oct",1429.400024
"189",2000-09-01,2000,"Sep",1436.51001
"190",2000-08-01,2000,"Aug",1517.680054
"191",2000-07-03,2000,"Jul",1430.829956
"192",2000-06-01,2000,"Jun",1454.599976
"193",2000-05-01,2000,"May",1420.599976
"194",2000-04-03,2000,"Apr",1452.430054
"195",2000-03-01,2000,"Mar",1498.579956
"196",2000-02-01,2000,"Feb",1366.420044
"197",2000-01-03,2000,"Jan",1394.459961
